budget,round,cust,fit
15,0,2,53
15,0,2,64
15,0,2,51
15,0,2,68
15,0,2,52
15,0,2,52
15,0,2,49
15,0,2,56
15,0,2,62
15,0,2,68
15,0,2,70
15,0,2,47
15,0,2,46
15,0,2,66
15,0,2,66
15,0,2,70
15,0,2,65
15,0,2,54
15,0,2,61
15,0,2,60
15,0,2,60
15,0,3,95
15,0,3,85
15,0,3,94
15,0,3,84
15,0,3,88
15,0,3,83
15,0,3,106
15,0,3,79
15,0,3,90
15,0,3,87
15,0,3,87
15,0,3,79
15,0,3,86
15,0,3,96
15,0,3,-129
15,0,3,102
15,0,3,97
15,0,3,86
15,0,3,85
15,0,3,87
15,0,3,101
15,0,3,89
15,0,3,84
15,0,3,94
15,0,3,-129
15,0,3,98
15,0,3,96
15,0,3,86
15,0,3,79
15,0,3,91
15,0,3,80
15,0,3,96
15,0,3,89
15,0,3,72
15,0,3,87
15,0,3,91
15,0,3,73
15,0,3,99
15,0,3,93
15,0,3,79
15,0,3,79
15,0,3,107
15,0,3,69
15,0,3,87
15,0,3,72
15,0,3,102
15,0,3,86
15,0,3,80
15,0,3,80
15,0,3,-141
15,0,3,81
15,0,3,91
15,0,3,84
15,0,3,81
15,0,3,96
15,0,3,82
15,0,3,85
15,0,3,89
15,0,3,80
15,0,3,99
15,0,3,90
15,0,3,99
15,0,3,89
15,0,3,90
15,0,3,74
15,0,3,89
15,0,3,77
15,0,3,105
15,0,3,86
15,0,3,88
15,0,3,85
15,0,3,81
15,0,3,95
15,0,3,91
15,0,3,77
15,0,3,76
15,0,3,85
15,0,3,78
15,0,3,89
15,0,3,85
15,0,3,98
15,0,3,97
15,0,3,96
15,0,3,81
15,0,3,106
15,0,3,79
15,0,3,85
15,0,3,82
15,0,3,81
15,0,3,87
15,0,3,91
15,0,3,80
15,0,3,94
15,0,3,-159
15,0,3,94
15,0,3,92
15,0,3,78
15,0,3,93
15,0,3,94
15,0,3,90
15,0,4,110
15,0,4,-137
15,0,4,-158
15,0,4,116
15,0,4,119
15,0,4,108
15,0,4,-175
15,0,4,119
15,0,4,115
15,0,4,-149
15,0,4,-140
15,0,4,123
15,0,4,116
15,0,4,104
15,0,4,-148
15,0,4,-164
15,0,4,119
15,0,4,117
15,0,4,-136
15,0,4,100
15,0,4,110
15,0,4,-135
15,0,4,-144
15,0,4,112
15,0,4,122
15,0,4,110
15,0,4,101
15,0,4,116
15,0,4,111
15,0,4,112
15,0,4,133
15,0,4,128
15,0,4,-142
15,0,4,110
15,0,4,-202
15,0,4,136
15,0,4,117
15,0,4,106
15,0,4,98
15,0,4,128
15,0,4,-170
15,0,4,88
15,0,4,-135
15,0,4,118
15,0,4,109
15,0,4,-137
15,0,4,113
15,0,4,135
15,0,4,110
15,0,4,116
15,0,4,123
15,0,4,127
15,0,4,124
15,0,4,113
15,0,4,94
15,0,4,139
15,0,4,113
15,0,4,115
15,0,4,113
15,0,4,111
15,0,4,105
15,0,4,125
15,0,4,118
15,0,4,120
15,0,4,-144
15,0,4,103
15,0,4,119
15,0,4,128
15,0,4,131
15,0,4,119
15,0,4,104
15,0,4,110
15,0,4,123
15,0,4,112
15,0,4,109
15,0,4,113
15,0,4,119
15,0,4,121
15,0,4,127
15,0,4,121
15,0,4,105
15,0,4,104
15,0,4,120
15,0,4,122
15,0,4,113
15,0,4,120
15,0,4,108
15,0,4,-148
15,0,4,-154
15,0,4,119
15,0,4,107
15,0,4,137
15,0,4,-136
15,0,4,110
15,0,4,102
15,0,4,119
15,0,4,-136
15,0,4,114
15,0,4,123
15,0,4,-131
15,0,5,-152
15,0,5,-140
15,0,5,-157
15,0,5,-132
15,0,5,140
15,0,5,142
15,0,5,-165
15,0,5,-153
15,0,5,151
15,0,5,-204
15,0,5,-138
15,0,5,-129
15,0,5,-145
15,0,5,128
15,0,5,143
15,0,5,147
15,0,5,-174
15,0,5,-139
15,0,5,-143
15,0,5,-139
15,0,5,161
15,0,5,146
15,0,5,138
15,0,5,139
15,0,5,-185
15,0,5,-153
15,0,5,-150
15,0,5,150
15,0,5,146
15,0,5,-138
15,0,5,148
15,0,5,153
15,0,5,-134
15,0,5,-149
15,0,5,-138
15,0,5,143
15,0,5,-130
15,0,5,-173
15,0,5,-145
15,0,5,157
15,0,5,-134
15,0,5,153
15,0,5,152
15,0,5,-134
15,0,5,158
15,0,5,-131
15,0,5,-136
15,0,5,145
15,0,5,-140
15,0,5,140
15,0,5,-143
15,0,5,-134
15,0,5,148
15,0,5,-166
15,0,5,-170
15,0,5,-161
15,0,5,134
15,0,5,-186
15,0,5,158
15,0,5,-144
15,0,5,-158
15,0,5,-142
15,0,5,131
15,0,5,155
15,0,5,-142
15,0,5,154
15,0,5,-135
15,0,5,-172
15,0,5,152
15,0,5,147
15,0,5,157
15,0,5,-173
15,0,5,134
15,0,5,-165
15,0,5,134
15,0,5,-138
15,0,5,144
15,0,5,-154
15,0,5,-132
15,0,5,179
15,0,5,-169
15,0,5,141
15,0,5,146
15,0,5,-140
15,0,5,161
15,0,5,-135
15,0,5,-157
15,0,5,-187
15,0,5,-131
15,0,5,-173
15,0,5,152
15,0,5,132
15,0,5,-144
15,0,5,-151
15,0,5,123
15,0,5,132
15,0,5,-156
15,0,5,140
15,0,5,-142
15,0,5,158
15,0,6,184
15,0,6,179
15,0,6,-140
15,0,6,-167
15,0,6,-133
15,0,6,-171
15,0,6,-181
15,0,6,167
15,0,6,-183
15,0,6,-154
15,0,6,-152
15,0,6,177
15,0,6,-209
15,0,6,192
15,0,6,-150
15,0,6,-140
15,0,6,-141
15,0,6,-167
15,0,6,-204
15,0,6,-150
15,0,6,-182
15,0,6,-178
15,0,6,-140
15,0,6,196
15,0,6,-155
15,0,6,-163
15,0,6,-144
15,0,6,-149
15,0,6,-134
15,0,6,-157
15,0,6,-185
15,0,6,-156
15,0,6,-149
15,0,6,185
15,0,6,-151
15,0,6,-190
15,0,6,-159
15,0,6,182
15,0,6,155
15,0,6,-154
15,0,6,-167
15,0,6,-160
15,0,6,-145
15,0,6,177
15,0,6,-156
15,0,6,-165
15,0,6,-243
15,0,6,170
15,0,6,184
15,0,6,-215
15,0,6,-186
15,0,6,-144
15,0,6,167
15,0,6,-200
15,0,6,-194
15,0,6,-178
15,0,6,-152
15,0,6,-157
15,0,6,-134
15,0,6,-206
15,0,6,172
15,0,6,170
15,0,6,-161
15,0,6,-172
15,0,6,178
15,0,6,-161
15,0,6,182
15,0,6,177
15,0,6,-159
15,0,6,-205
15,0,6,-151
15,0,6,-161
15,0,6,171
15,0,6,-155
15,0,6,169
15,0,6,-199
15,0,6,170
15,0,6,-140
15,0,6,-165
15,0,6,179
15,0,6,-183
15,0,6,-187
15,0,6,-189
15,0,6,-141
15,0,6,-189
15,0,6,-185
15,0,6,-154
15,0,6,-140
15,0,6,186
15,0,6,-150
15,0,6,-164
15,0,6,-188
15,0,6,-140
15,0,6,-225
15,0,6,190
15,0,6,-132
15,0,6,-207
15,0,6,-129
15,0,6,158
15,0,6,187
15,0,7,-199
15,0,7,-169
15,0,7,-182
15,0,7,-143
15,0,7,-152
15,0,7,-171
15,0,7,-148
15,0,7,-168
15,0,7,-150
15,0,7,-186
15,0,7,-140
15,0,7,-174
15,0,7,-192
15,0,7,-216
15,0,7,209
15,0,7,-211
15,0,7,-181
15,0,7,-185
15,0,7,206
15,0,7,-195
15,0,7,-231
15,0,7,-199
15,0,7,-192
15,0,7,-177
15,0,7,-142
15,0,7,-230
15,0,7,-198
15,0,7,-231
15,0,7,-185
15,0,7,-159
15,0,7,-202
15,0,7,-188
15,0,7,-181
15,0,7,-194
15,0,7,188
15,0,7,-146
15,0,7,-144
15,0,7,-251
15,0,7,-131
15,0,7,-154
15,0,7,-209
15,0,7,-212
15,0,7,-178
15,0,7,-219
15,0,7,-152
15,0,7,-234
15,0,7,-141
15,0,7,-155
15,0,7,-160
15,0,7,-142
15,0,7,-150
15,0,7,-242
15,0,7,197
15,0,7,-163
15,0,7,201
15,0,7,-165
15,0,7,-155
15,0,7,-160
15,0,7,203
15,0,7,-161
15,0,7,208
15,0,7,169
15,0,7,-203
15,0,7,-159
15,0,7,-161
15,0,7,-176
15,0,7,-178
15,0,7,-157
15,0,7,-142
15,0,7,-155
15,0,7,-230
15,0,7,-165
15,0,7,-200
15,0,7,-211
15,0,7,-215
15,0,7,-147
15,0,7,208
15,0,7,-130
15,0,7,-166
15,0,7,-140
15,0,7,-196
15,0,7,-164
15,0,7,213
15,0,7,-238
15,0,7,-241
15,0,7,-142
15,0,7,-139
15,0,7,-217
15,0,7,-221
15,0,7,-187
15,0,7,-146
15,0,7,-174
15,0,7,-158
15,0,7,208
15,0,7,-199
15,0,7,-147
15,0,7,-189
15,0,7,-177
15,0,7,-130
15,0,7,-207
15,0,8,-246
15,0,8,-187
15,0,8,-202
15,0,8,-227
15,0,8,-205
15,0,8,-279
15,0,8,-228
15,0,8,-188
15,0,8,-227
15,0,8,-231
15,0,8,-211
15,0,8,-130
15,0,8,-166
15,0,8,-172
15,0,8,-185
15,0,8,-178
15,0,8,-261
15,0,8,-164
15,0,8,-173
15,0,8,-206
15,0,8,-207
15,0,8,-169
15,0,8,-202
15,0,8,-227
15,0,8,-161
15,0,8,-183
15,0,8,-154
15,0,8,-136
15,0,8,-260
15,0,8,-199
15,0,8,-225
15,0,8,-206
15,0,8,-205
15,0,8,-194
15,0,8,-168
15,0,8,-149
15,0,8,-209
15,0,8,-174
15,0,8,247
15,0,8,-193
15,0,8,-200
15,0,8,-179
15,0,8,-254
15,0,8,-214
15,0,8,-241
15,0,8,-168
15,0,8,-226
15,0,8,-179
15,0,8,-180
15,0,8,-214
15,0,8,-167
15,0,8,-237
15,0,8,244
15,0,8,-218
15,0,8,-198
15,0,8,-190
15,0,8,-277
15,0,8,239
15,0,8,-203
15,0,8,-221
15,0,8,-200
15,0,8,-262
15,0,8,-220
15,0,8,-246
15,0,8,-239
15,0,8,-189
15,0,8,-139
15,0,8,-222
15,0,8,-207
15,0,8,-209
15,0,8,-226
15,0,8,-191
15,0,8,-240
15,0,8,-191
15,0,8,-253
15,0,8,-216
15,0,8,-164
15,0,8,-215
15,0,8,-287
15,0,8,-186
15,0,8,-165
15,0,8,-210
15,0,8,-242
15,0,8,-181
15,0,8,-153
15,0,8,218
15,0,8,-210
15,0,8,250
15,0,8,-157
15,0,8,-179
15,0,8,-220
15,0,8,-212
15,0,8,-184
15,0,8,-185
15,0,8,-212
15,0,8,-170
15,0,8,-197
15,0,8,-163
15,0,8,-186
15,0,8,-190
15,0,9,-176
15,0,9,-255
15,0,9,-224
15,0,9,-216
15,0,9,-226
15,0,9,-265
15,0,9,-231
15,0,9,-269
15,0,9,252
15,0,9,-157
15,0,9,-211
15,0,9,-219
15,0,9,-197
15,0,9,-260
15,0,9,-240
15,0,9,-262
15,0,9,-230
15,0,9,-200
15,0,9,-162
15,0,9,-181
15,0,9,-212
15,0,9,-196
15,0,9,-186
15,0,9,-157
15,0,9,-212
15,0,9,-151
15,0,9,-181
15,0,9,-169
15,0,9,-254
15,0,9,-218
15,0,9,-207
15,0,9,-188
15,0,9,-211
15,0,9,-212
15,0,9,-224
15,0,9,-145
15,0,9,-205
15,0,9,-200
15,0,9,-132
15,0,9,-156
15,0,9,-277
15,0,9,-218
15,0,9,-210
15,0,9,-192
15,0,9,-250
15,0,9,-171
15,0,9,-205
15,0,9,-180
15,0,9,-202
15,0,9,-168
15,0,9,-262
15,0,9,-207
15,0,9,-183
15,0,9,-183
15,0,9,-213
15,0,9,-170
15,0,9,-211
15,0,9,-189
15,0,9,-173
15,0,9,-225
15,0,9,-224
15,0,9,-234
15,0,9,-206
15,0,9,-233
15,0,9,-249
15,0,9,-226
15,0,9,-229
15,0,9,-215
15,0,9,-197
15,0,9,-261
15,0,9,-224
15,0,9,-241
15,0,9,-265
15,0,9,-224
15,0,9,-202
15,0,9,-206
15,0,9,-211
15,0,9,-226
15,0,9,-220
15,0,9,-300
15,0,9,-228
15,0,9,-240
15,0,9,-255
15,0,9,-181
15,0,9,-195
15,0,9,-248
15,0,9,-189
15,0,9,-252
15,0,9,-230
15,0,9,-199
15,0,9,-183
15,0,9,-256
15,0,9,-185
15,0,9,-185
15,0,9,-201
15,0,9,-250
15,0,9,-157
15,0,9,-176
15,0,9,-212
15,0,9,-244
15,0,10,-166
15,0,10,-185
15,0,10,-235
15,0,10,-229
15,0,10,-195
15,0,10,-231
15,0,10,-172
15,0,10,-269
15,0,10,-211
15,0,10,-190
15,0,10,-259
15,0,10,-243
15,0,10,-232
15,0,10,-205
15,0,10,-224
15,0,10,-256
15,0,10,-288
15,0,10,-250
15,0,10,-246
15,0,10,-255
15,0,10,-261
15,0,10,-210
15,0,10,-222
15,0,10,-250
15,0,10,-299
15,0,10,-201
15,0,10,-222
15,0,10,-212
15,0,10,-240
15,0,10,-213
15,0,10,-244
15,0,10,-234
15,0,10,-293
15,0,10,-243
15,0,10,-279
15,0,10,-223
15,0,10,-201
15,0,10,-265
15,0,10,-194
15,0,10,-238
15,0,10,-182
15,0,10,-184
15,0,10,-250
15,0,10,-172
15,0,10,-277
15,0,10,-231
15,0,10,-199
15,0,10,-251
15,0,10,-224
15,0,10,-212
15,0,10,-171
15,0,10,-232
15,0,10,-258
15,0,10,-263
15,0,10,-232
15,0,10,-193
15,0,10,-155
15,0,10,-248
15,0,10,-206
15,0,10,-178
15,0,10,-245
15,0,10,-178
15,0,10,-270
15,0,10,-260
15,0,10,-247
15,0,10,-235
15,0,10,-243
15,0,10,-271
15,0,10,288
15,0,10,-240
15,0,10,-244
15,0,10,-249
15,0,10,-303
15,0,10,-256
15,0,10,-268
15,0,10,-266
15,0,10,-257
15,0,10,-302
15,0,10,-223
15,0,10,-254
15,0,10,-260
15,0,10,-165
15,0,10,-157
15,0,10,-201
15,0,10,-258
15,0,10,-225
15,0,10,-219
15,0,10,-247
15,0,10,-316
15,0,10,-236
15,0,10,-243
15,0,10,-243
15,0,10,-259
15,0,10,-261
15,0,10,-247
15,0,10,-298
15,0,10,-188
15,0,10,-169
15,0,10,-269
15,0,10,-285
15,0,11,-271
15,0,11,-271
15,0,11,-232
15,0,11,-256
15,0,11,-203
15,0,11,-229
15,0,11,-236
15,0,11,-281
15,0,11,-263
15,0,11,-244
15,0,11,-227
15,0,11,-216
15,0,11,-294
15,0,11,-267
15,0,11,-265
15,0,11,-259
15,0,11,-247
15,0,11,-287
15,0,11,-243
15,0,11,-289
15,0,11,-246
15,0,11,-250
15,0,11,-318
15,0,11,-243
15,0,11,-214
15,0,11,-259
15,0,11,-253
15,0,11,-263
15,0,11,-137
15,0,11,-250
15,0,11,-203
15,0,11,-232
15,0,11,-289
15,0,11,-260
15,0,11,-254
15,0,11,-206
15,0,11,-219
15,0,11,-251
15,0,11,-257
15,0,11,-218
15,0,11,-208
15,0,11,-182
15,0,11,-257
15,0,11,-226
15,0,11,-274
15,0,11,-287
15,0,11,-209
15,0,11,-285
15,0,11,-264
15,0,11,-281
15,0,11,-246
15,0,11,-268
15,0,11,-258
15,0,11,-216
15,0,11,-199
15,0,11,-225
15,0,11,-282
15,0,11,-276
15,0,11,-193
15,0,11,-264
15,0,11,-224
15,0,11,-226
15,0,11,-278
15,0,11,-267
15,0,11,-295
15,0,11,-257
15,0,11,-205
15,0,11,-251
15,0,11,-307
15,0,11,-242
15,0,11,-262
15,0,11,-279
15,0,11,-276
15,0,11,-219
15,0,11,-253
15,0,11,-280
15,0,11,-268
15,0,11,-267
15,0,11,-211
15,0,11,-247
15,0,11,-238
15,0,11,-245
15,0,11,-280
15,0,11,-254
15,0,11,-267
15,0,11,-236
15,0,11,-249
15,0,11,-210
15,0,11,-237
15,0,11,-206
15,0,11,-248
15,0,11,-272
15,0,11,-225
15,0,11,-241
15,0,11,-277
15,0,11,-150
15,0,11,-257
15,0,11,-261
15,0,11,-265
15,0,11,-219
15,0,12,-302
15,0,12,-272
15,0,12,-261
15,0,12,-247
15,0,12,-224
15,0,12,-283
15,0,12,-194
15,0,12,-239
15,0,12,-291
15,0,12,-267
15,0,12,-232
15,0,12,-284
15,0,12,-319
15,0,12,-294
15,0,12,-280
15,0,12,-239
15,0,12,-283
15,0,12,-353
15,0,12,-313
15,0,12,-315
15,0,12,-257
15,0,12,-250
15,0,12,-244
15,0,12,-310
15,0,12,-245
15,0,12,-238
15,0,12,-324
15,0,12,-289
15,0,12,-296
15,0,12,-320
15,0,12,-252
15,0,12,-267
15,0,12,-272
15,0,12,-307
15,0,12,-279
15,0,12,-237
15,0,12,-296
15,0,12,-188
15,0,12,-339
15,0,12,-281
15,0,12,-236
15,0,12,-282
15,0,12,-359
15,0,12,-293
15,0,12,-311
15,0,12,-280
15,0,12,-204
15,0,12,-286
15,0,12,-286
15,0,12,-235
15,0,12,-279
15,0,12,-295
15,0,12,-300
15,0,12,-270
15,0,12,-202
15,0,12,-303
15,0,12,-222
15,0,12,-316
15,0,12,-296
15,0,12,-266
15,0,12,-207
15,0,12,-274
15,0,12,-292
15,0,12,-227
15,0,12,-263
15,0,12,-272
15,0,12,-181
15,0,12,-315
15,0,12,-262
15,0,12,-259
15,0,12,-240
15,0,12,-239
15,0,12,-322
15,0,12,-293
15,0,12,-280
15,0,12,-219
15,0,12,-300
15,0,12,-267
15,0,12,-266
15,0,12,-262
15,0,12,-235
15,0,12,-358
15,0,12,-284
15,0,12,-292
15,0,12,-245
15,0,12,-257
15,0,12,-294
15,0,12,-298
15,0,12,-245
15,0,12,-279
15,0,12,-290
15,0,12,-219
15,0,12,-281
15,0,12,-262
15,0,12,-278
15,0,12,-183
15,0,12,-300
15,0,12,-286
15,0,12,-284
15,0,12,-294
15,0,13,-313
15,0,13,-228
15,0,13,-334
15,0,13,-261
15,0,13,-281
15,0,13,-290
15,0,13,-249
15,0,13,-295
15,0,13,-246
15,0,13,-282
15,0,13,-317
15,0,13,-277
15,0,13,-248
15,0,13,-277
15,0,13,-290
15,0,13,-259
15,0,13,-400
15,0,13,-316
15,0,13,-219
15,0,13,-230
15,0,13,-265
15,0,13,-252
15,0,13,-239
15,0,13,-199
15,0,13,-242
15,0,13,-266
15,0,13,-242
15,0,13,-316
15,0,13,-275
15,0,13,-309
15,0,13,-322
15,0,13,-302
15,0,13,-301
15,0,13,-330
15,0,13,-312
15,0,13,-302
15,0,13,-331
15,0,13,-280
15,0,13,-304
15,0,13,-269
15,0,13,-273
15,0,13,-333
15,0,13,-265
15,0,13,-254
15,0,13,-285
15,0,13,-252
15,0,13,-269
15,0,13,-208
15,0,13,-365
15,0,13,-314
15,0,13,-301
15,0,13,-317
15,0,13,-284
15,0,13,-272
15,0,13,-269
15,0,13,-255
15,0,13,-308
15,0,13,-306
15,0,13,-281
15,0,13,-258
15,0,13,-277
15,0,13,-286
15,0,13,-307
15,0,13,-241
15,0,13,-278
15,0,13,-239
15,0,13,-283
15,0,13,-309
15,0,13,-228
15,0,13,-261
15,0,13,-277
15,0,13,-290
15,0,13,-284
15,0,13,-260
15,0,13,-310
15,0,13,-235
15,0,13,-270
15,0,13,-310
15,0,13,-284
15,0,13,-287
15,0,13,-288
15,0,13,-238
15,0,13,-276
15,0,13,-289
15,0,13,-311
15,0,13,-330
15,0,13,-244
15,0,13,-321
15,0,13,-287
15,0,13,-232
15,0,13,-290
15,0,13,-301
15,0,13,-295
15,0,13,-352
15,0,13,-281
15,0,13,-322
15,0,13,-287
15,0,13,-247
15,0,13,-258
15,0,13,-347
15,0,14,-254
15,0,14,-259
15,0,14,-321
15,0,14,-296
15,0,14,-242
15,0,14,-277
15,0,14,-358
15,0,14,-331
15,0,14,-323
15,0,14,-316
15,0,14,-297
15,0,14,-287
15,0,14,-264
15,0,14,-321
15,0,14,-327
15,0,14,-325
15,0,14,-254
15,0,14,-311
15,0,14,-345
15,0,14,-320
15,0,14,-287
15,0,14,-298
15,0,14,-341
15,0,14,-286
15,0,14,-225
15,0,14,-308
15,0,14,-338
15,0,14,-250
15,0,14,-257
15,0,14,-313
15,0,14,-319
15,0,14,-328
15,0,14,-289
15,0,14,-307
15,0,14,-287
15,0,14,-307
15,0,14,-264
15,0,14,-319
15,0,14,-336
15,0,14,-300
15,0,14,-284
15,0,14,-324
15,0,14,-329
15,0,14,-262
15,0,14,-259
15,0,14,-338
15,0,14,-329
15,0,14,-288
15,0,14,-358
15,0,14,-278
15,0,14,-335
15,0,14,-328
15,0,14,-291
15,0,14,-283
15,0,14,-418
15,0,14,-265
15,0,14,-282
15,0,14,-334
15,0,14,-276
15,0,14,-274
15,0,14,-347
15,0,14,-312
15,0,14,-294
15,0,14,-347
15,0,14,-273
15,0,14,-253
15,0,14,-259
15,0,14,-349
15,0,14,-338
15,0,14,-312
15,0,14,-356
15,0,14,-291
15,0,14,-303
15,0,14,-315
15,0,14,-226
15,0,14,-302
15,0,14,-327
15,0,14,-305
15,0,14,-232
15,0,14,-335
15,0,14,-327
15,0,14,-321
15,0,14,-289
15,0,14,-257
15,0,14,-307
15,0,14,-358
15,0,14,-315
15,0,14,-335
15,0,14,-316
15,0,14,-302
15,0,14,-307
15,0,14,-285
15,0,14,-248
15,0,14,-359
15,0,14,-342
15,0,14,-309
15,0,14,-321
15,0,14,-348
15,0,14,-300
15,0,14,-342
15,0,15,-358
15,0,15,-324
15,0,15,-289
15,0,15,-292
15,0,15,-325
15,0,15,-282
15,0,15,-270
15,0,15,-321
15,0,15,-253
15,0,15,-336
15,0,15,-196
15,0,15,-269
15,0,15,-293
15,0,15,-349
15,0,15,-314
15,0,15,-277
15,0,15,-347
15,0,15,-351
15,0,15,-266
15,0,15,-311
15,0,15,-282
15,0,15,-274
15,0,15,-334
15,0,15,-304
15,0,15,-343
15,0,15,-287
15,0,15,-293
15,0,15,-313
15,0,15,-272
15,0,15,-265
15,0,15,-286
15,0,15,-300
15,0,15,-292
15,0,15,-318
15,0,15,-295
15,0,15,-337
15,0,15,-273
15,0,15,-332
15,0,15,-287
15,0,15,-280
15,0,15,-280
15,0,15,-367
15,0,15,-279
15,0,15,-299
15,0,15,-323
15,0,15,-290
15,0,15,-329
15,0,15,-326
15,0,15,-344
15,0,15,-311
15,0,15,-330
15,0,15,-246
15,0,15,-250
15,0,15,-331
15,0,15,-304
15,0,15,-322
15,0,15,-367
15,0,15,-344
15,0,15,-346
15,0,15,-373
15,0,15,-292
15,0,15,-342
15,0,15,-394
15,0,15,-305
15,0,15,-263
15,0,15,-363
15,0,15,-325
15,0,15,-389
15,0,15,-337
15,0,15,-328
15,0,15,-276
15,0,15,-386
15,0,15,-255
15,0,15,-311
15,0,15,-326
15,0,15,-280
15,0,15,-315
15,0,15,-328
15,0,15,-423
15,0,15,-314
15,0,15,-261
15,0,15,-310
15,0,15,-358
15,0,15,-389
15,0,15,-301
15,0,15,-297
15,0,15,-314
15,0,15,-278
15,0,15,-297
15,0,15,-291
15,0,15,-318
15,0,15,-342
15,0,15,-290
15,0,15,-373
15,0,15,-294
15,0,15,-276
15,0,15,-327
15,0,15,-312
15,0,15,-300
15,0,15,-361
15,0,16,-297
15,0,16,-278
15,0,16,-335
15,0,16,-292
15,0,16,-367
15,0,16,-335
15,0,16,-370
15,0,16,-282
15,0,16,-273
15,0,16,-358
15,0,16,-350
15,0,16,-311
15,0,16,-305
15,0,16,-296
15,0,16,-322
15,0,16,-371
15,0,16,-374
15,0,16,-332
15,0,16,-320
15,0,16,-384
15,0,16,-313
15,0,16,-313
15,0,16,-328
15,0,16,-388
15,0,16,-348
15,0,16,-302
15,0,16,-374
15,0,16,-317
15,0,16,-326
15,0,16,-363
15,0,16,-331
15,0,16,-354
15,0,16,-208
15,0,16,-356
15,0,16,-307
15,0,16,-320
15,0,16,-345
15,0,16,-353
15,0,16,-341
15,0,16,-351
15,0,16,-309
15,0,16,-322
15,0,16,-372
15,0,16,-251
15,0,16,-303
15,0,16,-329
15,0,16,-308
15,0,16,-343
15,0,16,-323
15,0,16,-390
15,0,16,-312
15,0,16,-271
15,0,16,-281
15,0,16,-387
15,0,16,-315
15,0,16,-257
15,0,16,-362
15,0,16,-334
15,0,16,-307
15,0,16,-346
15,0,16,-341
15,0,16,-391
15,0,16,-337
15,0,16,-345
15,0,16,-347
15,0,16,-328
15,0,16,-275
15,0,16,-286
15,0,16,-342
15,0,16,-384
15,0,16,-355
15,0,16,-339
15,0,16,-372
15,0,16,-348
15,0,16,-311
15,0,16,-343
15,0,16,-327
15,0,16,-245
15,0,16,-343
15,0,16,-283
15,0,16,-291
15,0,16,-319
15,0,16,-283
15,0,16,-338
15,0,16,-351
15,0,16,-358
15,0,16,-325
15,0,16,-312
15,0,16,-320
15,0,16,-313
15,0,16,-298
15,0,16,-307
15,0,16,-368
15,0,16,-352
15,0,16,-306
15,0,16,-353
15,0,16,-351
15,0,16,-308
15,0,16,-331
15,0,16,-358
15,0,17,-315
15,0,17,-358
15,0,17,-355
15,0,17,-330
